Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1984,0.93,10.02,67.81,155.78,261.17,474.57,145.1,24.8,16.59,1.66,0.21,1.32,0,0,0
1987,25.45,363.02,172.99,138.97,91.13,168.27,78.14,43.99,175.39,22.41,7.81,3.51,1.82,0,0
1989,208.88,63.49,47.56,243.15,301.09,104.43,54.47,28.39,26.14,5.98,10.66,0,0,0,0
1990,64.04,251.21,48.34,46.68,209.77,240.82,74.41,110.41,26.13,34.23,5.03,27.73,5.7,1.07,1.63
1993,139.31,71.15,50.94,182.96,267.12,91.51,33.12,68.98,76.62,26.36,11.85,6.29,3.82,1.82,4.41
1996,194.23,128.79,17.3,26.13,50.04,63.18,174.41,87.62,52.37,27.73,12.1,18.46,7.16,9.68,19.7
1999,109.73,19.17,20.94,66.76,118.94,56.8,59.04,47.71,56.4,81.97,65.18,9.67,8.28,2.5,0.76
2001,412.83,117.03,34.42,33.39,25.05,33.45,37.01,8.2,5.74,0.59,4.48,2.52,1.28,0,0.18
2003,75.46,18.4,128.41,140.74,73.27,44.72,36.1,25.27,14.51,8.61,3.23,1.79,1.26,0,0
2005,270.37,33.72,34.41,35.86,91.78,78.82,45.24,20.86,9.61,9.98,4.81,0.57,0.64,0,0
2007,174.01,95.96,88.59,37.11,19.23,18.9,54.98,31.11,6.64,3.04,2.78,1,1.13,0,0
